Wavelength [nm]	Wavenumbers [1/cm]	365nm_0002_30us_baselined
243.407	41083.52	-23.33
243.983	40986.41	-26.4
244.560	40889.75	9.775
245.137	40793.56	-27.91
245.713	40697.81	-16.92
246.290	40602.51	-12.62
246.867	40507.66	-20.12
247.444	40413.25	-20.73
248.020	40319.28	-30.32
248.597	40225.75	-19.92
249.174	40132.64	-14.33
249.750	40039.97	-20.43
250.327	39947.73	-28.22
250.904	39855.91	-33.31
251.481	39764.51	-27.12
252.057	39673.53	-27.12
252.634	39582.96	-27.62
253.211	39492.81	-24.52
253.787	39403.06	-23.51
254.364	39313.73	2.875
254.941	39224.79	-12.02
255.518	39136.26	-6.533
256.094	39048.13	-18.22
256.671	38960.39	-21.72
257.248	38873.05	-9.737
257.824	38786.10	-22.43
258.401	38699.53	-29.12
258.978	38613.35	-6.509
259.554	38527.56	3.773
260.131	38442.14	-1.63
260.708	38357.11	-24.22
261.285	38272.44	-22.79
261.861	38188.16	11.46
262.438	38104.24	-19.22
263.015	38020.69	-20.43
263.591	37937.50	-23.51
264.168	37854.68	-4.32
264.745	37772.22	5.759
265.322	37690.12	-6.54
265.898	37608.37	-25.02
266.475	37526.98	-26.52
267.052	37445.94	-9.519
267.628	37365.24	-6.526
268.205	37284.90	-11.32
268.782	37204.90	-6.235
269.359	37125.24	-15.32
269.935	37045.93	-16.02
270.512	36966.95	-20.02
271.089	36888.30	-13.66
271.665	36809.99	-44.8
272.242	36732.02	-2.826
272.819	36654.37	-30.69
273.395	36577.05	-9.122
273.972	36500.06	-8.725
274.549	36423.39	-15.92
275.126	36347.04	-9.732
275.702	36271.01	-19.02
276.279	36195.29	-12.42
276.856	36119.90	-13.03
277.432	36044.81	-21.62
278.009	35970.04	-19.32
278.586	35895.58	-20.32
279.163	35821.42	-11.43
279.739	35747.57	-15.72
280.316	35674.03	-4.723
280.893	35600.78	-1.538
281.469	35527.84	-14.72
282.046	35455.20	-10.92
282.623	35382.85	-9.536
283.200	35310.79	-18.72
283.776	35239.03	-18.02
284.353	35167.56	-13.72
284.930	35096.38	11.07
285.506	35025.49	5.26
286.083	34954.88	-22.62
286.660	34884.56	-21.93
287.236	34814.52	-30.62
287.813	34744.76	-24.22
288.390	34675.28	-20.72
288.967	34606.07	1.637
289.543	34537.15	-36.31
290.120	34468.49	-16.82
290.697	34400.11	-19.91
291.273	34332.00	-11.82
291.850	34264.16	-5.323
292.427	34196.59	-7.822
293.004	34129.28	-16.43
293.580	34062.23	-23.22
294.157	33995.45	-26.92
294.734	33928.93	1.263
295.310	33862.67	-10.53
295.887	33796.67	-25.32
296.464	33730.93	-29.12
297.041	33665.44	-26.51
297.617	33600.20	-14.42
298.194	33535.22	-13.82
298.771	33470.49	-16.12
299.347	33406.01	-10.12
299.924	33341.77	-12.82
300.501	33277.78	-8.416
301.077	33214.04	-3.435
301.654	33150.54	-18.02
302.231	33087.28	-14.72
302.808	33024.27	-27.28
303.384	32961.49	8.575
303.961	32898.95	5.375
304.538	32836.65	-27.9
305.114	32774.59	-6.718
305.691	32712.75	-0.2341
306.268	32651.16	-41.01
306.845	32589.79	-26.71
307.421	32528.65	-9.43
307.998	32467.74	-23.22
308.575	32407.06	-39.89
309.151	32346.61	-12.84
309.728	32286.38	-36.42
310.305	32226.38	-22.93
310.882	32166.59	-27.82
311.458	32107.03	-27.02
312.035	32047.69	-21.32
312.612	31988.57	-24.12
313.188	31929.67	-23.23
313.765	31870.98	-26.92
314.342	31812.51	-30.42
314.918	31754.25	-28.12
315.495	31696.20	-26.42
316.072	31638.37	-20.42
316.649	31580.75	-29.63
317.225	31523.33	-36.41
317.802	31466.13	-18.42
318.379	31409.13	-47.5
318.955	31352.34	-27.8
319.532	31295.75	-2.226
320.109	31239.37	-12.82
320.686	31183.19	-19.03
321.262	31127.21	-24.53
321.839	31071.44	-29.82
322.416	31015.86	-19.91
322.992	30960.48	-9.013
323.569	30905.30	3.968
324.146	30850.31	-35.41
324.723	30795.52	-10.23
325.299	30740.93	-15.22
325.876	30686.52	-17.42
326.453	30632.31	-17.22
327.029	30578.29	-16.63
327.606	30524.46	-24.02
328.183	30470.82	-23.19
