Wavelength [nm]	Wavenumbers [1/cm]	Intensity
572.332	17472.37	10.6
572.905	17454.89	22.97
573.478	17437.45	10.09
574.052	17420.04	8.89
574.625	17402.66	14.43
575.198	17385.33	7.103
575.771	17368.02	14.43
576.344	17350.75	12.22
576.917	17333.52	23.03
577.490	17316.32	38.22
578.063	17299.15	34.59
578.636	17282.02	18.79
579.209	17264.92	12.27
579.782	17247.85	29.06
580.355	17230.82	4.715
580.928	17213.82	13.51
581.502	17196.86	6.842
582.075	17179.93	2.729
582.648	17163.03	17.5
583.221	17146.17	4.924
583.794	17129.33	4.702
584.367	17112.54	3.094
584.940	17095.77	16.57
585.513	17079.04	34.09
586.086	17062.34	2.992
586.659	17045.67	-34.71
587.232	17029.04	17.22
587.805	17012.43	15.18
588.378	16995.86	14.76
588.952	16979.33	22.26
589.525	16962.82	-10.51
590.098	16946.35	9.137
590.671	16929.91	20.01
591.244	16913.50	12.93
591.817	16897.12	-15.63
592.390	16880.77	38.08
592.963	16864.46	18.57
593.536	16848.17	-0.633
594.109	16831.92	22.93
594.682	16815.70	4.655
595.255	16799.51	44.37
595.828	16783.35	-30.05
596.402	16767.23	9.88
596.975	16751.13	0.14
597.548	16735.07	5.389
598.121	16719.03	4.104
598.694	16703.03	1.626
599.267	16687.06	-6.331
599.840	16671.11	0.03776
600.413	16655.20	9.295
600.986	16639.32	13.39
601.559	16623.47	-3.241
602.132	16607.65	10.1
602.705	16591.86	29.17
603.278	16576.09	-7.358
603.851	16560.36	-21.88
604.425	16544.66	17.9
604.998	16528.99	-5.763
605.571	16513.35	11.57
606.144	16497.74	-4.676
606.717	16482.15	-7.904
607.290	16466.60	7.416
607.863	16451.07	6.385
608.436	16435.58	-8.32
609.009	16420.11	-16.24
609.582	16404.68	-20.81
610.155	16389.27	-7.643
610.728	16373.89	3.532
611.301	16358.54	-19.98
611.875	16343.22	-2.787
612.448	16327.93	-6.394
613.021	16312.66	26.9
613.594	16297.43	12.54
614.167	16282.22	-6.613
614.740	16267.04	-4.667
615.313	16251.89	5.703
615.886	16236.77	1.235
616.459	16221.67	-6.924
617.032	16206.61	4.765
617.605	16191.57	17.93
618.178	16176.56	-1.027
618.751	16161.58	0.1438
619.325	16146.62	16.78
619.898	16131.70	21.88
620.471	16116.80	3.956
621.044	16101.92	1.43
621.617	16087.08	13.08
622.190	16072.26	2.936
622.763	16057.47	-14.9
623.336	16042.71	-13.52
