Wavelength [nm],Intensity,
902.997,225.42038,
903.570,215.71898,
904.143,217.28718,
904.716,220.96256,
905.289,223.15512,
905.862,209.17413,
906.435,213.83986,
907.009,209.28074,
907.582,202.81092,
908.155,203.28915,
908.728,206.90215,
909.301,225.01398,
909.874,235.90734,
910.447,224.42996,
911.020,224.07408,
911.593,241.13711,
912.166,210.96449,
912.739,227.29711,
913.312,226.52856,
913.885,219.37086,
914.458,209.08214,
915.032,238.10114,
915.605,216.94978,
916.178,209.25942,
916.751,213.3254,
917.324,220.98618,
917.897,237.62442,
918.470,214.18592,
919.043,221.20533,
919.616,221.64454,
920.189,231.43878,
920.762,242.18585,
921.335,246.45575,
921.908,235.13041,
922.482,223.67064,
923.055,238.42864,
923.628,224.91627,
924.201,231.7309,
924.774,242.5141,
925.347,236.69746,
925.920,195.89023,
926.493,212.9909,
927.066,222.07359,
927.639,233.08889,
928.212,222.97648,
928.785,242.98613,
929.358,231.41199,
929.932,221.30552,
930.505,243.65514,
931.078,217.52133,
931.651,214.32114,
932.224,234.81734,
932.797,219.56355,
933.370,206.23339,
933.943,230.73098,
934.516,230.62798,
935.089,216.59875,
935.662,218.42943,
936.235,217.25213,
936.808,229.70479,
937.382,221.61506,
937.955,223.46624,
938.528,225.55774,
939.101,245.32966,
939.674,238.78755,
940.247,238.86738,
940.820,221.62809,
941.393,227.82969,
941.966,204.17495,
942.539,229.54475,
943.112,216.58431,
943.685,225.8808,
944.258,215.88892,
944.832,255.5984,
945.405,225.14171,
945.978,227.69315,
946.551,226.56341,
947.124,224.73033,
947.697,237.1929,
948.270,220.89982,
948.843,221.92707,
949.416,221.20622,
949.989,218.57936,
950.562,220.40187,
951.135,220.84187,
951.708,209.26546,
952.281,208.81072,
952.855,203.08744,
953.428,216.67715,
954.001,215.73728,
954.574,212.60384,
955.147,222.34722,
955.720,225.06967,
956.293,233.44386,
956.866,218.88842,
957.439,207.46677,
958.012,225.6553,
958.585,245.58668,
959.158,191.92478,
959.731,206.25204,
960.305,249.31575,
960.878,235.7325,
961.451,211.33588,
962.024,209.59235,
962.597,235.89261,
963.170,224.49227,
963.743,221.67897,
964.316,225.85538,
964.889,220.11565,
965.462,230.04471,
966.035,233.15338,
966.608,228.34447,
967.181,224.71487,
967.755,225.63308,
968.328,231.49624,
968.901,238.71421,
969.474,209.06114,
970.047,215.98642,
970.620,221.8775,
971.193,211.40092,
