Wavelength [nm]	Wavenumbers [1/cm]	LED340nm_normalisedarea
720.759	13874.26	236.2
721.332	13863.24	214.2
721.905	13852.24	213.7
722.478	13841.25	224.3
723.051	13830.28	217.9
723.624	13819.33	206
724.197	13808.39	204.3
724.770	13797.47	198
725.344	13786.57	189.8
725.917	13775.69	194.3
726.490	13764.82	203.8
727.063	13753.97	209.7
727.636	13743.14	198.4
728.209	13732.32	198.5
728.782	13721.52	213.9
729.355	13710.74	222.5
729.928	13699.98	209.3
730.501	13689.23	208.1
731.074	13678.50	198.6
731.647	13667.79	213.9
732.220	13657.09	196.6
732.794	13646.41	200.8
733.367	13635.75	205.9
733.940	13625.10	212.4
734.513	13614.47	221.1
735.086	13603.85	227.8
735.659	13593.26	209.5
736.232	13582.68	216.6
736.805	13572.11	213
737.378	13561.56	211.8
737.951	13551.03	202.6
738.524	13540.52	218.3
739.097	13530.02	224.7
739.670	13519.53	212.1
740.244	13509.07	189.2
740.817	13498.62	195
741.390	13488.18	201
741.963	13477.77	193
742.536	13467.36	205.4
743.109	13456.98	230.7
743.682	13446.61	210.6
744.255	13436.25	235.4
744.828	13425.92	221.8
745.401	13415.59	214
745.974	13405.29	214.2
746.547	13395.00	221.5
747.120	13384.72	210.3
747.693	13374.46	235.6
748.267	13364.22	209
748.840	13353.99	202.2
749.413	13343.78	221.3
749.986	13333.59	236.5
750.559	13323.41	212.3
751.132	13313.24	227.4
751.705	13303.09	229
752.278	13292.96	221.9
752.851	13282.84	201.7
753.424	13272.73	191.8
753.997	13262.65	217.9
754.570	13252.57	222.6
755.143	13242.52	217.5
755.717	13232.47	208.8
756.290	13222.45	222.8
756.863	13212.44	190.7
757.436	13202.44	196.2
758.009	13192.46	201.6
758.582	13182.49	219.4
759.155	13172.54	224
759.728	13162.60	218.5
760.301	13152.68	203.3
760.874	13142.78	215.6
761.447	13132.89	219.1
762.020	13123.01	219.5
762.593	13113.15	189.1
763.167	13103.30	194.5
763.740	13093.47	207.6
764.313	13083.65	210.2
764.886	13073.85	196.1
765.459	13064.06	206.5
766.032	13054.29	217.8
766.605	13044.53	219.5
767.178	13034.78	218.1
767.751	13025.05	210.7
768.324	13015.34	212.7
768.897	13005.64	214.2
769.470	12995.95	205.8
770.043	12986.28	195.4
770.617	12976.62	197.9
771.190	12966.98	212
771.763	12957.35	205.4
772.336	12947.74	197.6
772.909	12938.14	191.4
773.482	12928.55	191.5
774.055	12918.98	204.2
774.628	12909.42	208.3
775.201	12899.88	197.1
775.774	12890.35	199.4
776.347	12880.83	210.4
776.920	12871.33	209.2
777.493	12861.85	212.4
778.066	12852.37	213.8
778.640	12842.91	217.7
779.213	12833.47	219.5
779.786	12824.04	209.6
780.359	12814.62	208.6
780.932	12805.21	210.7
781.505	12795.82	209.6
782.078	12786.45	222.1
782.651	12777.09	211
783.224	12767.74	207.1
783.797	12758.40	238.1
784.370	12749.08	228.8
784.943	12739.77	209.6
785.516	12730.48	192.8
786.090	12721.20	207.8
786.663	12711.93	216.3
787.236	12702.68	209.7
787.809	12693.44	229.6
788.382	12684.21	220.1
788.955	12675.00	224.7
