Wavelength [nm]	Wavenumbers [1/cm]	Intensity
686.947	14557.16	268.3
687.520	14545.02	270.8
688.094	14532.91	262
688.667	14520.81	271.2
689.240	14508.74	256.4
689.813	14496.69	265.3
690.386	14484.65	270
690.959	14472.64	267.8
691.532	14460.65	269.5
692.105	14448.67	261.7
692.678	14436.72	271.3
693.251	14424.78	285.5
693.824	14412.87	267.3
694.397	14400.98	267.5
694.970	14389.10	262.4
695.544	14377.24	262.8
696.117	14365.41	256.3
696.690	14353.59	249
697.263	14341.80	264.7
697.836	14330.02	274.5
698.409	14318.26	264
698.982	14306.52	265
699.555	14294.80	280.5
700.128	14283.10	262.3
700.701	14271.42	254.7
701.274	14259.76	260.3
701.847	14248.11	274.4
702.420	14236.49	282.6
702.994	14224.88	273.6
703.567	14213.30	267.8
704.140	14201.73	281.9
704.713	14190.18	290.3
705.286	14178.65	282.8
705.859	14167.14	282.9
706.432	14155.64	270.5
707.005	14144.17	263.8
707.578	14132.71	279
708.151	14121.28	277.4
708.724	14109.86	269.5
709.297	14098.46	271.3
709.870	14087.08	274.9
710.444	14075.71	274.6
711.017	14064.37	272.6
711.590	14053.04	278.5
712.163	14041.73	269.9
712.736	14030.44	271.2
713.309	14019.17	263.3
713.882	14007.92	249.2
714.455	13996.68	261.3
715.028	13985.46	267.6
715.601	13974.26	253.5
716.174	13963.08	269.1
716.747	13951.92	270.9
717.320	13940.77	268.8
717.894	13929.64	268.6
718.467	13918.53	247.4
719.040	13907.44	259.4
719.613	13896.36	283.3
720.186	13885.31	278.8
720.759	13874.27	287.8
721.332	13863.24	265
721.905	13852.24	266.6
722.478	13841.25	274.1
723.051	13830.28	269.1
723.624	13819.33	259.6
724.197	13808.39	262
724.770	13797.47	258.1
725.344	13786.57	245.9
725.917	13775.69	247.9
726.490	13764.82	260.4
727.063	13753.97	268.3
727.636	13743.14	256.2
728.209	13732.32	257.2
728.782	13721.53	270.2
729.355	13710.74	271.4
729.928	13699.98	261.4
730.501	13689.23	263.3
731.074	13678.50	254.2
731.647	13667.79	267.9
732.220	13657.09	252
732.793	13646.41	259.1
733.367	13635.75	256.6
733.940	13625.10	266.1
734.513	13614.47	277.4
735.086	13603.85	279.1
735.659	13593.26	264.1
736.232	13582.68	267.7
736.805	13572.11	267
737.378	13561.56	263.2
737.951	13551.03	260
738.524	13540.52	280.9
739.097	13530.02	283
739.670	13519.53	270.1
740.243	13509.07	246.2
740.817	13498.62	251.7
741.390	13488.18	259.3
741.963	13477.77	248.6
742.536	13467.36	256.7
743.109	13456.98	287.4
743.682	13446.61	269.9
744.255	13436.25	291.5
744.828	13425.92	277.7
745.401	13415.59	267.6
745.974	13405.29	273.2
746.547	13395.00	270
747.120	13384.72	268
747.693	13374.46	293.7
748.267	13364.22	259.2
748.840	13353.99	246.8
749.413	13343.78	272.3
749.986	13333.59	282.3
750.559	13323.41	273.4
751.132	13313.24	279.2
751.705	13303.09	278.3
752.278	13292.96	280.9
752.851	13282.84	253.6
753.424	13272.73	252.1
753.997	13262.65	273.8
754.570	13252.57	274
755.143	13242.52	276.4
755.717	13232.47	264.9
756.290	13222.45	282.2
756.863	13212.44	245.2
757.436	13202.44	251.8
758.009	13192.46	252.2
758.582	13182.49	270.4
759.155	13172.54	277.6
759.728	13162.60	281
760.301	13152.68	261.5
760.874	13142.78	273.6
761.447	13132.89	274.4
762.020	13123.01	271
762.593	13113.15	240.7
763.167	13103.30	248.8
763.740	13093.47	263.5
764.313	13083.65	266.1
764.886	13073.85	248.4
765.459	13064.06	259.4
766.032	13054.29	270.7
766.605	13044.53	269.2
767.178	13034.78	270.9
767.751	13025.05	263.4
768.324	13015.34	264
768.897	13005.64	265.3
769.470	12995.95	263.4
770.043	12986.28	255.9
770.617	12976.62	258.9
771.190	12966.98	267.7
771.763	12957.35	257.5
772.336	12947.74	251.7
772.909	12938.14	249.1
773.482	12928.55	248.7
774.055	12918.98	259.6
774.628	12909.42	260.3
775.201	12899.88	247.9
775.774	12890.35	255.7
776.347	12880.83	269.8
776.920	12871.33	268.6
777.493	12861.85	270.6
778.067	12852.37	268.6
778.640	12842.91	267.2
779.213	12833.47	271.3
779.786	12824.04	262.7
780.359	12814.62	255.6
780.932	12805.21	264.2
781.505	12795.82	261.4
782.078	12786.45	272.8
782.651	12777.09	264.8
783.224	12767.74	264.5
783.797	12758.40	298
784.370	12749.08	290.3
784.943	12739.77	265.7
785.516	12730.48	249.8
786.090	12721.20	264.4
786.663	12711.93	268.2
787.236	12702.68	264.2
787.809	12693.44	282.3
788.382	12684.21	271.8
788.955	12674.99	272.5
789.528	12665.79	257
790.101	12656.61	258.2
790.674	12647.43	268.1
791.247	12638.27	244.7
791.820	12629.13	294.5
792.393	12619.99	272.5
792.966	12610.87	266.6
