Wavelength [nm]	Wavenumbers [1/cm]	trans_azobenzene_epsilons
337.800	29603.32	1.421E4
337.900	29594.55	1.413E4
338.000	29585.80	1.405E4
338.100	29577.05	1.396E4
338.200	29568.30	1.389E4
338.300	29559.56	1.381E4
338.400	29550.83	1.373E4
338.500	29542.10	1.366E4
338.600	29533.37	1.358E4
338.700	29524.65	1.35E4
338.800	29515.94	1.342E4
338.900	29507.23	1.336E4
339.000	29498.53	1.328E4
339.100	29489.83	1.321E4
339.200	29481.13	1.314E4
339.300	29472.44	1.307E4
339.400	29463.76	1.3E4
339.500	29455.08	1.294E4
339.600	29446.41	1.288E4
339.700	29437.74	1.281E4
339.800	29429.08	1.274E4
339.900	29420.42	1.268E4
340.000	29411.76	1.262E4
340.100	29403.12	1.255E4
340.200	29394.47	1.25E4
340.300	29385.84	1.243E4
340.400	29377.20	1.237E4
340.500	29368.58	1.231E4
340.600	29359.95	1.226E4
340.700	29351.34	1.22E4
340.800	29342.72	1.214E4
340.900	29334.12	1.21E4
341.000	29325.51	1.204E4
341.100	29316.92	1.198E4
341.200	29308.32	1.193E4
341.300	29299.74	1.188E4
341.400	29291.15	1.183E4
341.500	29282.58	1.177E4
341.600	29274.00	1.172E4
341.700	29265.44	1.168E4
341.800	29256.88	1.163E4
341.900	29248.32	1.158E4
342.000	29239.77	1.154E4
342.100	29231.22	1.148E4
342.200	29222.68	1.144E4
342.300	29214.14	1.139E4
342.400	29205.61	1.134E4
342.500	29197.08	1.13E4
342.600	29188.56	1.126E4
342.700	29180.04	1.121E4
342.800	29171.53	1.117E4
342.900	29163.02	1.112E4
343.000	29154.52	1.108E4
343.100	29146.02	1.103E4
343.200	29137.53	1.099E4
343.300	29129.04	1.095E4
343.400	29120.56	1.09E4
343.500	29112.08	1.087E4
343.600	29103.61	1.082E4
343.700	29095.14	1.078E4
343.800	29086.68	1.073E4
343.900	29078.22	1.069E4
344.000	29069.77	1.065E4
344.100	29061.32	1.06E4
344.200	29052.88	1.055E4
344.300	29044.44	1.051E4
344.400	29036.00	1.046E4
344.500	29027.58	1.042E4
344.600	29019.15	1.038E4
344.700	29010.73	1.033E4
344.800	29002.32	1.029E4
344.900	28993.91	1.024E4
345.000	28985.51	1.02E4
345.100	28977.11	1.015E4
345.200	28968.71	1.01E4
345.300	28960.32	1.005E4
345.400	28951.94	1E4
345.500	28943.56	9954
345.600	28935.19	9905
345.700	28926.82	9851
345.800	28918.45	9805
345.900	28910.09	9750
346.000	28901.73	9701
346.100	28893.38	9650
346.200	28885.04	9596
346.300	28876.70	9542
346.400	28868.36	9488
346.500	28860.03	9433
346.600	28851.70	9372
346.700	28843.38	9319
346.800	28835.06	9257
346.900	28826.75	9196
347.000	28818.44	9142
347.100	28810.14	9081
347.200	28801.84	9017
347.300	28793.55	8960
347.400	28785.26	8894
347.500	28776.98	8833
347.600	28768.70	8770
347.700	28760.43	8705
347.800	28752.16	8640
347.900	28743.89	8568
348.000	28735.63	8501
348.100	28727.38	8433
348.200	28719.13	8364
348.300	28710.88	8293
348.400	28702.64	8226
348.500	28694.40	8156
348.600	28686.17	8084
348.700	28677.95	8013
348.800	28669.72	7934
348.900	28661.51	7863
349.000	28653.30	7791
349.100	28645.09	7715
349.200	28636.88	7632
349.300	28628.69	7562
349.400	28620.49	7476
