Wavelength [nm]	Wavenumbers [1/cm]	Intensity
739.670	13519.53	243.8
740.243	13509.07	219.4
740.817	13498.62	226.2
741.390	13488.18	232.6
741.963	13477.77	221.3
742.536	13467.36	231.3
743.109	13456.98	261
743.682	13446.61	243
744.255	13436.25	265.1
744.828	13425.92	253.9
745.401	13415.59	242.6
745.974	13405.29	247.7
746.547	13395.00	244.9
747.120	13384.72	243.3
747.693	13374.46	270.2
748.267	13364.22	232.7
748.840	13353.99	220.7
749.413	13343.78	243.7
749.986	13333.59	257.7
750.559	13323.41	245.5
751.132	13313.24	253.8
751.705	13303.09	252.2
752.278	13292.96	254.4
752.851	13282.84	228.7
753.424	13272.73	226.8
753.997	13262.65	249.1
754.570	13252.57	249
755.143	13242.52	250.5
755.717	13232.47	239.9
756.290	13222.45	254.5
756.863	13212.44	218.7
757.436	13202.44	225.4
758.009	13192.46	225
758.582	13182.49	241.2
759.155	13172.54	250.1
759.728	13162.60	253.3
760.301	13152.68	234
760.874	13142.78	247.9
761.447	13132.89	248.5
762.020	13123.01	246
762.593	13113.15	214.4
763.167	13103.30	223
763.740	13093.47	237.1
764.313	13083.65	238.5
764.886	13073.85	220.7
765.459	13064.06	233.8
766.032	13054.29	245.7
766.605	13044.53	243.5
767.178	13034.78	245.1
767.751	13025.05	236.7
768.324	13015.34	236.7
768.897	13005.64	237.7
769.470	12995.95	236.7
770.043	12986.28	230.3
770.617	12976.62	232.8
771.190	12966.98	241.4
771.763	12957.35	229.7
772.336	12947.74	224.4
772.909	12938.14	224
773.482	12928.55	221.4
774.055	12918.98	230.5
774.628	12909.42	231.9
775.201	12899.88	219.6
775.774	12890.35	227
776.347	12880.83	242.3
776.920	12871.33	241.8
777.493	12861.85	244.2
778.067	12852.37	242.5
778.640	12842.91	240.2
779.213	12833.47	245.6
779.786	12824.04	236.9
780.359	12814.62	230.2
780.932	12805.21	238.9
781.505	12795.82	234.3
782.078	12786.45	245.5
782.651	12777.09	238.7
783.224	12767.74	238.1
783.797	12758.40	271.6
784.370	12749.08	263.8
784.943	12739.77	238.9
785.516	12730.48	223.5
786.090	12721.20	240.4
786.663	12711.93	243.8
787.236	12702.68	235
787.809	12693.44	254.7
788.382	12684.21	245.2
788.955	12674.99	246
789.528	12665.79	230.8
790.101	12656.61	233.9
790.674	12647.43	241.5
791.247	12638.27	217
791.820	12629.13	266.8
792.393	12619.99	245.1
792.966	12610.87	238.9
793.540	12601.77	233.4
794.113	12592.67	244.6
794.686	12583.59	238.8
